Molecule theta_s T_rot N_tot v_lsr Deltav
"CH_3CN,nu_8 = 1" 10 230 3500000000000000.0 7.5 4.0
^13CH_3CN 10 230 110000000000000.0 7.5 4.0
CH_3^13CN 10 230 110000000000000.0 7.5 4.0
H^13CN 10 120 36000000000000.0 8.0 4.0
DCN 10 120 17000000000000.0 8.0 4.0
HNC 10 80 65000000000000.0 9.0 3.0
NH_2CHO 10 190 750000000000000.0 7.2 4.8
NO 10 70 3.2e+16 7.2 2.5
NS 10 200 610000000000000.0 7.7 5.5
